# Zuordnung zu Kantonen, erzeugt aus dem Amtlichen Ortschaftenverzeichnis
# von swisstopo (AMTOVZ_CSV_LV95) mit tool/plz_kantone_erzeugen.dart.
# Nicht von Hand bearbeiten.
#
# Zwei Arten von Zeilen:
#   8005,ZH      Postleitzahl -> Kanton
#   zurich,ZH    Ortsname (normalisiert) -> Kanton
# Der Ortsname faengt die Postfach-Postleitzahlen auf, die im
# Ortschaftenverzeichnis fehlen (3000 Bern, 1211 Geneve und weitere).
#
# Reicht ein Eintrag ueber eine Kantonsgrenze, entscheidet der
# Adressenanteil: aufgenommen wird nur, wo mindestens 90 Prozent der
# Adressen im selben Kanton liegen.
# Postleitzahlen: 3147 (ausgelassen: 30 -- 1290, 1410, 1534, 1565, 1595, 1608, 1738, 1787, 2345, 2748, 2827, 3206, 3801, 4564, 5017, 6010, 6340, 6356, 6388, 6452, 7315, 8212, 8495, 8525, 8546, 8640, 8866, 8872, 9105, 9442)
# Ortsnamen: 3937 (ausgelassen: 20 -- barmelweid, bisisthal, grafenort, jungfraujoch, la cibourg, le cerneux veusil, les ecorcheresses, oleyres, riemenstalden, rigi kaltbad, sangernboden, schelten, schmidruti, schonengrund, sihlbrugg, sisikon, vattis, weesen, wilen b neunforn, ziegelbrucke)
1000,VD
1003,VD
1004,VD
1005,VD
1006,VD
1007,VD
1008,VD
1009,VD
1010,VD
1011,VD
1012,VD
1015,VD
1018,VD
1020,VD
1022,VD
1023,VD
1024,VD
1025,VD
1026,VD
1027,VD
1028,VD
1029,VD
1030,VD
1031,VD
1032,VD
1033,VD
1034,VD
1035,VD
1036,VD
1037,VD
1038,VD
1040,VD
1041,VD
1042,VD
1043,VD
1044,VD
1045,VD
1046,VD
1047,VD
1052,VD
1053,VD
1054,VD
1055,VD
1058,VD
1059,VD
1061,VD
1062,VD
1063,VD
1066,VD
1068,VD
1070,VD
1071,VD
1072,VD
1073,VD
1076,VD
1077,VD
1078,VD
1080,VD
1081,VD
1082,VD
1083,VD
1084,VD
1085,VD
1088,VD
1090,VD
1091,VD
1092,VD
1093,VD
1094,VD
1095,VD
1096,VD
1097,VD
1098,VD
1110,VD
1112,VD
1113,VD
1114,VD
1115,VD
1116,VD
1117,VD
1121,VD
1122,VD
1123,VD
1124,VD
1125,VD
1126,VD
1127,VD
1128,VD
1131,VD
1132,VD
1134,VD
1135,VD
1136,VD
1141,VD
1142,VD
1143,VD
1144,VD
1145,VD
1146,VD
1147,VD
1148,VD
1149,VD
1162,VD
1163,VD
1164,VD
1165,VD
1166,VD
1167,VD
1168,VD
1169,VD
1170,VD
1172,VD
1173,VD
1174,VD
1175,VD
1176,VD
1180,VD
1182,VD
1183,VD
1184,VD
1185,VD
1186,VD
1187,VD
1188,VD
1189,VD
1195,VD
1196,VD
1197,VD
1201,GE
1202,GE
1203,GE
1204,GE
1205,GE
1206,GE
1207,GE
1208,GE
1209,GE
1212,GE
1213,GE
1214,GE
1215,GE
1216,GE
1217,GE
1218,GE
1219,GE
1220,GE
1222,GE
1223,GE
1224,GE
1225,GE
1226,GE
1227,GE
1228,GE
1231,GE
1232,GE
1233,GE
1234,GE
1236,GE
1237,GE
1239,GE
1241,GE
1242,GE
1243,GE
1244,GE
1245,GE
1246,GE
1247,GE
1248,GE
1251,GE
1252,GE
1253,GE
1254,GE
1255,GE
1256,GE
1257,GE
1258,GE
1260,VD
1261,VD
1262,VD
1263,VD
1264,VD
1265,VD
1266,VD
1267,VD
1268,VD
1269,VD
1270,VD
1271,VD
1272,VD
1273,VD
1274,VD
1275,VD
1276,VD
1277,VD
1278,VD
1279,VD
1281,GE
1283,GE
1284,GE
1285,GE
1286,GE
1287,GE
1288,GE
1291,VD
1292,GE
1293,GE
1294,GE
1295,VD
1296,VD
1297,VD
1298,GE
1299,VD
1302,VD
1303,VD
1304,VD
1305,VD
1306,VD
1307,VD
1308,VD
1312,VD
1313,VD
1315,VD
1316,VD
1317,VD
1318,VD
1321,VD
1322,VD
1323,VD
1324,VD
1325,VD
1326,VD
1329,VD
1337,VD
1338,VD
1341,VD
1342,VD
1343,VD
1344,VD
1345,VD
1346,VD
1347,VD
1348,VD
1350,VD
1352,VD
1353,VD
1354,VD
1355,VD
1356,VD
1357,VD
1358,VD
1372,VD
1373,VD
1374,VD
1375,VD
1376,VD
1377,VD
1400,VD
1404,VD
1405,VD
1406,VD
1407,VD
1408,VD
1409,VD
1412,VD
1413,VD
1415,VD
1416,VD
1417,VD
1418,VD
1420,VD
1421,VD
